artifact_status,baseline_label,basis,bibliography_touched,candidate_only,drift_ppm,existing_manuscript_result_files_touched,expected_localization_degradation_m,generated_manuscript_pdfs_touched,human_signoff_required,manuscript_directories_touched,manuscript_ready,matches_manuscript_example,non_final,not_for_manuscript_submission,notebook_used,oscillator_label,psfrag_touched,range_bias_equivalent_km,range_bias_equivalent_m,response_letter_touched,scenario_assumption,time_error_s,time_error_us,update_interval_s,viability_label,work_in_progress_figures_touched
non_final_gnss_baseline_exploration,intermittent_gnss_update,Scenario assumption; matches the manuscript example 0.5 ppm over 15 s.,False,True,0.5,False,150.22942277869686,False,True,False,False,False,True,True,False,tcxo_0_5_ppm,False,0.149896229,149.896229,False,True,5e-07,0.5,1.0,large_bias_jcls_clock_estimation_or_external_update_needed,False
non_final_gnss_baseline_exploration,intermittent_gnss_update,Scenario assumption; matches the manuscript example 0.5 ppm over 15 s.,False,True,0.5,False,749.5478548501831,False,True,False,False,False,True,True,False,tcxo_0_5_ppm,False,0.749481145,749.481145,False,True,2.4999999999999998e-06,2.5,5.0,large_bias_jcls_clock_estimation_or_external_update_needed,False
non_final_gnss_baseline_exploration,intermittent_gnss_update,Scenario assumption; matches the manuscript example 0.5 ppm over 15 s.,False,True,0.5,False,2248.4656724963797,False,True,False,False,True,True,True,False,tcxo_0_5_ppm,False,2.2484434349999995,2248.4434349999997,False,True,7.499999999999999e-06,7.499999999999999,15.0,large_bias_jcls_clock_estimation_or_external_update_needed,False
non_final_gnss_baseline_exploration,intermittent_gnss_update,Scenario assumption; matches the manuscript example 0.5 ppm over 15 s.,False,True,0.5,False,4496.897988789427,False,True,False,False,False,True,True,False,tcxo_0_5_ppm,False,4.496886869999999,4496.886869999999,False,True,1.4999999999999999e-05,14.999999999999998,30.0,large_bias_jcls_clock_estimation_or_external_update_needed,False
non_final_gnss_baseline_exploration,intermittent_gnss_update,Scenario assumption for a better TCXO-class holdover case.,False,True,0.1,False,31.6030881202584,False,True,False,False,False,True,True,False,tcxo_0_1_ppm,False,0.0299792458,29.979245799999998,False,True,1e-07,0.09999999999999999,1.0,moderate_bias_requires_clock_estimation,False
non_final_gnss_baseline_exploration,intermittent_gnss_update,Scenario assumption for a better TCXO-class holdover case.,False,True,0.1,False,150.22942277869686,False,True,False,False,False,True,True,False,tcxo_0_1_ppm,False,0.149896229,149.896229,False,True,5e-07,0.5,5.0,large_bias_jcls_clock_estimation_or_external_update_needed,False
non_final_gnss_baseline_exploration,intermittent_gnss_update,Scenario assumption for a better TCXO-class holdover case.,False,True,0.1,False,449.79986128920046,False,True,False,False,False,True,True,False,tcxo_0_1_ppm,False,0.44968868700000003,449.688687,False,True,1.5e-06,1.5,15.0,large_bias_jcls_clock_estimation_or_external_update_needed,False
non_final_gnss_baseline_exploration,intermittent_gnss_update,Scenario assumption for a better TCXO-class holdover case.,False,True,0.1,False,899.4329662977314,False,True,False,False,False,True,True,False,tcxo_0_1_ppm,False,0.8993773740000001,899.377374,False,True,3e-06,3.0,30.0,large_bias_jcls_clock_estimation_or_external_update_needed,False
non_final_gnss_baseline_exploration,intermittent_gnss_update,Scenario assumption for an OCXO-style 10 ppb holdover case.,False,True,0.01,False,10.43971033062547,False,True,False,False,False,True,True,False,ocxo_0_01_ppm,False,0.00299792458,2.9979245800000003,False,True,1e-08,0.01,1.0,low_holdover_bias_context,False
non_final_gnss_baseline_exploration,intermittent_gnss_update,Scenario assumption for an OCXO-style 10 ppb holdover case.,False,True,0.01,False,18.01912302761165,False,True,False,False,False,True,True,False,ocxo_0_01_ppm,False,0.0149896229,14.989622899999999,False,True,5e-08,0.049999999999999996,5.0,moderate_bias_requires_clock_estimation,False
non_final_gnss_baseline_exploration,intermittent_gnss_update,Scenario assumption for an OCXO-style 10 ppb holdover case.,False,True,0.01,False,46.06733280924607,False,True,False,False,False,True,True,False,ocxo_0_01_ppm,False,0.0449688687,44.968868699999994,False,True,1.5e-07,0.15,15.0,moderate_bias_requires_clock_estimation,False
non_final_gnss_baseline_exploration,intermittent_gnss_update,Scenario assumption for an OCXO-style 10 ppb holdover case.,False,True,0.01,False,90.49196985717217,False,True,False,False,False,True,True,False,ocxo_0_01_ppm,False,0.0899377374,89.93773739999999,False,True,3e-07,0.3,30.0,moderate_bias_requires_clock_estimation,False
non_final_gnss_baseline_exploration,intermittent_gnss_update,Scenario assumption for a disciplined oscillator-class 1 ppb case.,False,True,0.001,False,10.004492766646077,False,True,False,False,False,True,True,False,disciplined_ocxo_0_001_ppm,False,0.000299792458,0.29979245800000004,False,True,1e-09,0.001,1.0,low_holdover_bias_context,False
non_final_gnss_baseline_exploration,intermittent_gnss_update,Scenario assumption for a disciplined oscillator-class 1 ppb case.,False,True,0.001,False,10.111720325782455,False,True,False,False,False,True,True,False,disciplined_ocxo_0_001_ppm,False,0.00149896229,1.4989622900000001,False,True,5e-09,0.005,5.0,low_holdover_bias_context,False
non_final_gnss_baseline_exploration,intermittent_gnss_update,Scenario assumption for a disciplined oscillator-class 1 ppb case.,False,True,0.001,False,10.964578948668224,False,True,False,False,False,True,True,False,disciplined_ocxo_0_001_ppm,False,0.004496886870000001,4.496886870000001,False,True,1.5000000000000002e-08,0.015000000000000001,15.0,low_holdover_bias_context,False
non_final_gnss_baseline_exploration,intermittent_gnss_update,Scenario assumption for a disciplined oscillator-class 1 ppb case.,False,True,0.001,False,13.449459694958517,False,True,False,False,False,True,True,False,disciplined_ocxo_0_001_ppm,False,0.008993773740000002,8.993773740000002,False,True,3.0000000000000004e-08,0.030000000000000002,30.0,low_holdover_bias_context,False
