mode,num_users,num_satellites,clock_std_dev_seconds,map_iteration_count,measurement_count,state_dimension,cooperative_jcls_attempted,single_ue_policy,il_position_error_m,lm_position_error_m,map_position_error_m,il_sync_error_s,lm_sync_error_s,map_sync_error_s,success,cache_used,fallback_count,failure_count,fallbacks,failures
medium,1,4,5e-10,0,4,8,False,noncooperative_clockless_baseline_only,0.26229065223009157,0.26229065223009157,0.26229065223009157,2.1421024323915456e-10,2.1421024323915456e-10,2.1421024323915456e-10,True,True,1,0,"[{""stage"": ""LM/MAP"", ""reason"": ""single_ue_noncooperative_baseline_only""}]",[]
medium,1,8,5e-10,0,8,12,False,noncooperative_clockless_baseline_only,0.23928421797729885,0.23928421797729885,0.23928421797729885,3.740229093377279e-10,3.740229093377279e-10,3.740229093377279e-10,True,True,1,0,"[{""stage"": ""LM/MAP"", ""reason"": ""single_ue_noncooperative_baseline_only""}]",[]
medium,1,12,5e-10,0,12,16,False,noncooperative_clockless_baseline_only,0.39234181975549676,0.39234181975549676,0.39234181975549676,6.288413967376565e-10,6.288413967376565e-10,6.288413967376565e-10,True,True,1,0,"[{""stage"": ""LM/MAP"", ""reason"": ""single_ue_noncooperative_baseline_only""}]",[]
medium,3,4,5e-10,5,18,16,True,not_applicable,0.6725903831549868,0.21319409915203305,0.21319409915203305,5.36918739880879e-10,1.3353240451837242e-10,1.3353240451837242e-10,True,True,5,0,"[""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback""]",[]
medium,3,8,5e-10,5,30,20,True,not_applicable,0.30037122254726123,0.07467113264496299,0.04951813969782118,4.5147050485676336e-10,2.5173311851861874e-10,2.5173518048411375e-10,True,True,5,0,"[""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback""]",[]
medium,3,12,5e-10,5,42,24,True,not_applicable,0.2178981278714308,0.022860978636266894,0.022860978636266894,4.978950774772289e-10,7.454770834242266e-11,7.454770834242266e-11,True,True,5,0,"[""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback""]",[]
medium,5,4,5e-10,5,40,24,True,not_applicable,0.6012763353658238,0.43672083456453115,0.17026681986561443,3.17939747451612e-10,1.3869282381217762e-10,1.449542456696202e-10,True,True,5,0,"[""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback""]",[]
medium,5,8,5e-10,5,60,28,True,not_applicable,0.221461786000059,0.04523822055677505,0.04523822055677505,3.5782651713645235e-10,7.746589040340847e-11,7.746589040340847e-11,True,True,5,0,"[""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback""]",[]
medium,5,12,5e-10,5,80,32,True,not_applicable,0.11316907837201744,0.023888532487448325,0.023888532487448325,3.3609018440326903e-10,5.121284393643718e-11,5.121284393643718e-11,True,True,5,0,"[""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback""]",[]
medium,7,4,5e-10,5,70,32,True,not_applicable,0.6678834108904477,0.05961863409535174,0.05961863409535174,3.2651042159745937e-10,7.161226681172911e-11,7.161226681172911e-11,True,True,5,0,"[""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback""]",[]
medium,7,8,5e-10,5,98,36,True,not_applicable,0.4899446465568513,0.005884883911462436,0.004970218455125127,5.191038620978401e-10,9.301671767114194e-11,9.301141359463511e-11,True,True,5,0,"[""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback""]",[]
medium,7,12,5e-10,5,126,40,True,not_applicable,0.22271625523794114,0.004611964177433462,0.0030018135793038075,4.468403793789161e-10,1.3198792729622858e-10,1.3199284779043226e-10,True,True,5,0,"[""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback""]",[]
