case_id,convergence_probability,l0_stage_b_reference_m,l0_stage_c_reference_m,pipeline,prior_radius_m,seed_count,stage_b_localization_error_m_max,stage_b_localization_error_m_mean,stage_b_manuscript_like,stage_b_ratio_to_l0,stage_c_localization_error_m_max,stage_c_localization_error_m_mean,stage_c_ratio_to_l0,stage_c_useful
std_nu3_ns10_fullmesh_los_clock10ns_seed0,1.0,0.07144244702260096,0.07144244702260096,legacy_nontruth_lm,10.0,1,0.07445028175951036,0.07445028175951036,True,1.042101507748718,,,,False
std_nu3_ns10_fullmesh_los_clock10ns_seed0,1.0,0.07144244702260096,0.07144244702260096,legacy_surgical_nontruth,10.0,1,0.07445028175951036,0.07445028175951036,True,1.042101507748718,0.057769390616741294,0.057769390616741294,0.808614388564628,True
std_nu3_ns10_fullmesh_los_clock10ns_seed0,1.0,0.07144244702260096,0.07144244702260096,legacy_nontruth_lm,100.0,1,0.07445027306138406,0.07445027306138406,True,1.0421013859986008,,,,False
std_nu3_ns10_fullmesh_los_clock10ns_seed0,1.0,0.07144244702260096,0.07144244702260096,legacy_surgical_nontruth,100.0,1,0.07445027306138406,0.07445027306138406,True,1.0421013859986008,0.0601533057550341,0.0601533057550341,0.841982718425147,True
std_nu3_ns10_fullmesh_los_clock10ns_seed0,1.0,0.07144244702260096,0.07144244702260096,legacy_nontruth_lm,1000.0,1,0.07445028175951036,0.07445028175951036,True,1.042101507748718,,,,False
std_nu3_ns10_fullmesh_los_clock10ns_seed0,1.0,0.07144244702260096,0.07144244702260096,legacy_surgical_nontruth,1000.0,1,0.07445028175951036,0.07445028175951036,True,1.042101507748718,0.09672918543975172,0.09672918543975172,1.3539455809674499,True
std_nu3_ns10_fullmesh_los_clock10ns_seed0,1.0,0.07144244702260096,0.07144244702260096,legacy_nontruth_lm,10000.0,1,0.07445028228191147,0.07445028228191147,True,1.042101515060913,,,,False
std_nu3_ns10_fullmesh_los_clock10ns_seed0,1.0,0.07144244702260096,0.07144244702260096,legacy_surgical_nontruth,10000.0,1,0.07445028228191147,0.07445028228191147,True,1.042101515060913,0.09492871712482814,0.09492871712482814,1.3287439201907132,True
std_nu3_ns10_fullmesh_los_clock10ns_seed0,1.0,0.07144244702260096,0.07144244702260096,legacy_nontruth_lm,100000.0,1,0.07445028175951036,0.07445028175951036,True,1.042101507748718,,,,False
std_nu3_ns10_fullmesh_los_clock10ns_seed0,1.0,0.07144244702260096,0.07144244702260096,legacy_surgical_nontruth,100000.0,1,0.07445028175951036,0.07445028175951036,True,1.042101507748718,0.035771137788779314,0.035771137788779314,0.5006986641633796,True
std_nu3_ns10_fullmesh_los_clock1us_seed0,1.0,0.0744077569554327,0.0744077569554327,legacy_nontruth_lm,10.0,1,0.07445028605341618,0.07445028605341618,True,1.0005715680692935,,,,False
std_nu3_ns10_fullmesh_los_clock1us_seed0,1.0,0.0744077569554327,0.0744077569554327,legacy_surgical_nontruth,10.0,1,0.07445028605341618,0.07445028605341618,True,1.0005715680692935,0.09534191974491624,0.09534191974491624,1.281343822822428,True
std_nu3_ns10_fullmesh_los_clock1us_seed0,1.0,0.0744077569554327,0.0744077569554327,legacy_nontruth_lm,100.0,1,0.07445028041111722,0.07445028041111722,True,1.0005714922398479,,,,False
std_nu3_ns10_fullmesh_los_clock1us_seed0,1.0,0.0744077569554327,0.0744077569554327,legacy_surgical_nontruth,100.0,1,0.07445028041111722,0.07445028041111722,True,1.0005714922398479,0.09097203087834332,0.09097203087834332,1.222614880500053,True
std_nu3_ns10_fullmesh_los_clock1us_seed0,1.0,0.0744077569554327,0.0744077569554327,legacy_nontruth_lm,1000.0,1,0.07445028049046781,0.07445028049046781,True,1.000571493306277,,,,False
std_nu3_ns10_fullmesh_los_clock1us_seed0,1.0,0.0744077569554327,0.0744077569554327,legacy_surgical_nontruth,1000.0,1,0.07445028049046781,0.07445028049046781,True,1.000571493306277,0.09689473412742186,0.09689473412742186,1.3022128080740019,True
std_nu3_ns10_fullmesh_los_clock1us_seed0,1.0,0.0744077569554327,0.0744077569554327,legacy_nontruth_lm,10000.0,1,0.0744502779168387,0.0744502779168387,True,1.000571458718094,,,,False
std_nu3_ns10_fullmesh_los_clock1us_seed0,1.0,0.0744077569554327,0.0744077569554327,legacy_surgical_nontruth,10000.0,1,0.0744502779168387,0.0744502779168387,True,1.000571458718094,0.09631329921386834,0.09631329921386834,1.2943986373834142,True
std_nu3_ns10_fullmesh_los_clock1us_seed0,1.0,0.0744077569554327,0.0744077569554327,legacy_nontruth_lm,100000.0,1,0.0744502771727543,0.0744502771727543,True,1.0005714487180024,,,,False
std_nu3_ns10_fullmesh_los_clock1us_seed0,1.0,0.0744077569554327,0.0744077569554327,legacy_surgical_nontruth,100000.0,1,0.0744502771727543,0.0744502771727543,True,1.0005714487180024,0.03623739136921989,0.03623739136921989,0.48701093611684404,True
std_nu3_ns4_fullmesh_los_clock1us_seed0,1.0,0.8799808953306845,0.4768526166398049,legacy_nontruth_lm,10.0,1,0.5432454594631854,0.5432454594631854,True,0.6173377880653208,,,,False
std_nu3_ns4_fullmesh_los_clock1us_seed0,1.0,0.8799808953306845,0.4768526166398049,legacy_surgical_nontruth,10.0,1,0.5432454594631854,0.5432454594631854,True,0.6173377880653208,0.8710045421122903,0.8710045421122903,1.8265697025003678,True
std_nu3_ns4_fullmesh_los_clock1us_seed0,1.0,0.8799808953306845,0.4768526166398049,legacy_nontruth_lm,100.0,1,0.54324544729577,0.54324544729577,True,0.6173377742384122,,,,False
std_nu3_ns4_fullmesh_los_clock1us_seed0,1.0,0.8799808953306845,0.4768526166398049,legacy_surgical_nontruth,100.0,1,0.54324544729577,0.54324544729577,True,0.6173377742384122,0.8613729711722625,0.8613729711722625,1.8063714890399956,True
std_nu3_ns4_fullmesh_los_clock1us_seed0,1.0,0.8799808953306845,0.4768526166398049,legacy_nontruth_lm,1000.0,1,0.5432454646326159,0.5432454646326159,True,0.6173377939398013,,,,False
std_nu3_ns4_fullmesh_los_clock1us_seed0,1.0,0.8799808953306845,0.4768526166398049,legacy_surgical_nontruth,1000.0,1,0.5432454646326159,0.5432454646326159,True,0.6173377939398013,0.8684525542226059,0.8684525542226059,1.8212179694897213,True
std_nu3_ns4_fullmesh_los_clock1us_seed0,1.0,0.8799808953306845,0.4768526166398049,legacy_nontruth_lm,10000.0,1,0.5432454441514394,0.5432454441514394,True,0.6173377706652318,,,,False
std_nu3_ns4_fullmesh_los_clock1us_seed0,1.0,0.8799808953306845,0.4768526166398049,legacy_surgical_nontruth,10000.0,1,0.5432454441514394,0.5432454441514394,True,0.6173377706652318,0.8708930417301136,0.8708930417301136,1.8263358768312072,True
std_nu3_ns4_fullmesh_los_clock1us_seed0,1.0,0.8799808953306845,0.4768526166398049,legacy_nontruth_lm,100000.0,1,0.5432454247999439,0.5432454247999439,True,0.6173377486744185,,,,False
std_nu3_ns4_fullmesh_los_clock1us_seed0,1.0,0.8799808953306845,0.4768526166398049,legacy_surgical_nontruth,100000.0,1,0.5432454247999439,0.5432454247999439,True,0.6173377486744185,0.26604658534235104,0.26604658534235104,0.5579220414413953,True
