accepted_update_count,clock_drift_update_norm,flags,normal_condition,num_satellites,num_users,objective_after,objective_before,p_clock_eig_max,p_clock_eig_min,p_position_eig_max,p_position_eig_min,position_ratio,position_update_norm,prior_cost,rejected_update_count,residual_cost_after,residual_cost_before,satellite_clock_update_norm,step3_position_error_m,step3_sync_error_km,step_b_position_error_m,step_b_sync_error_km,sync_ratio,total_update_norm,ue_clock_update_norm,variant
1,0.00035047078570349583,"{'sync_ratio_gt_1': True, 'position_ratio_gt_1': False, 'sync_worse_gt_5_percent': True, 'position_worse_gt_5_percent': False, 'objective_decreases_but_metric_worsens': True, 'unusually_large_update_norm': False}",1974.7607316876495,4,1,0.765618391254391,604.8201495403323,8.403672886787657e-06,3.6958862725601592e-06,7.463676294796665e-06,4e-06,0.14448710044194635,0.002170736735424503,0.7623922917506599,0,0.003226099503731137,604.8201495403323,0.0007727417389346472,0.3541926885886298,0.00029192454798631474,2.45137931002319,0.00017386344389243484,1.679045010559675,0.0023698509297633468,0.00042911057788803334,block_diag_residual_scaled_covariance
1,0.0004858454559504502,"{'sync_ratio_gt_1': True, 'position_ratio_gt_1': False, 'sync_worse_gt_5_percent': True, 'position_worse_gt_5_percent': False, 'objective_decreases_but_metric_worsens': True, 'unusually_large_update_norm': False}",3756.257645207116,8,1,1.2515859874727637,1113.5123494289783,1.4700479982406976e-05,1.8292930871033543e-06,4.465643546534896e-06,4e-06,0.12925641998128798,0.00215217251829743,1.24206305279714,0,0.009522934675623883,1113.5123494289783,0.0008030004125187526,0.3168565136297974,0.0002895055304543105,2.45137931002319,0.000250859964826564,1.1540523441214094,0.002394153727451413,0.0004682628029021791,block_diag_residual_scaled_covariance
1,0.000537245544703822,"{'sync_ratio_gt_1': True, 'position_ratio_gt_1': False, 'sync_worse_gt_5_percent': True, 'position_worse_gt_5_percent': False, 'objective_decreases_but_metric_worsens': True, 'unusually_large_update_norm': False}",4995.8605219166575,12,1,1.404436062584527,1374.9120959604804,1.2794730593345514e-05,1.2046398711892674e-06,4e-06,4e-06,0.1390176450957488,0.0021909690040947953,1.388793512652255,0,0.01564254993227182,1374.9120959604804,0.0006348838688291653,0.34078497891586534,0.0002545058720338499,2.45137931002319,0.00023403845659085177,1.0874532149166385,0.002376203691802899,0.00039279575587064714,block_diag_residual_scaled_covariance
1,0.0005903051179553312,"{'sync_ratio_gt_1': False, 'position_ratio_gt_1': False, 'sync_worse_gt_5_percent': False, 'position_worse_gt_5_percent': False, 'objective_decreases_but_metric_worsens': False, 'unusually_large_update_norm': True}",121258.60613442655,8,7,0.3235681969989798,9723.814253278037,0.0004,0.00019275216909043206,0.00039968756320285726,0.0003411076785422441,0.01667397435041022,0.006015822349700439,0.31241837397056715,0,0.011149823028412683,9723.814253278037,0.0005760592299048054,0.03677075717431965,3.486038413021543e-05,2.2052785017877277,0.00023825529852167685,0.14631525236381585,0.006094565700876447,0.00052278883930467,block_diag_residual_scaled_covariance
1,0.0006042713456025457,"{'sync_ratio_gt_1': False, 'position_ratio_gt_1': False, 'sync_worse_gt_5_percent': False, 'position_worse_gt_5_percent': False, 'objective_decreases_but_metric_worsens': False, 'unusually_large_update_norm': True}",118455.92531322026,12,7,0.40792829504170774,13730.644662631734,0.0004,6.619107905239698e-05,0.00025090295473042536,0.0002436856723147966,0.01795237950802429,0.006013019463498151,0.39338697684019625,0,0.01454131820151151,13730.644662631734,0.000736822352432122,0.03958999658498051,4.190959029927186e-05,2.2052785017877277,0.0002272804957279902,0.18439589444326693,0.006110152900426256,0.0005191477246602214,block_diag_residual_scaled_covariance
1,0.00035047078570349583,"{'sync_ratio_gt_1': True, 'position_ratio_gt_1': False, 'sync_worse_gt_5_percent': True, 'position_worse_gt_5_percent': False, 'objective_decreases_but_metric_worsens': True, 'unusually_large_update_norm': False}",1974.7607316876495,4,1,0.765618391254391,604.8201495403323,8.403672886787657e-06,3.6958862725601592e-06,7.463676294796665e-06,4e-06,0.14448710044194635,0.002170736735424503,0.7623922917506599,0,0.003226099503731137,604.8201495403323,0.0007727417389346472,0.3541926885886298,0.00029192454798631474,2.45137931002319,0.00017386344389243484,1.679045010559675,0.0023698509297633468,0.00042911057788803334,full_residual_scaled_covariance
1,0.0004858454559504502,"{'sync_ratio_gt_1': True, 'position_ratio_gt_1': False, 'sync_worse_gt_5_percent': True, 'position_worse_gt_5_percent': False, 'objective_decreases_but_metric_worsens': True, 'unusually_large_update_norm': False}",3756.257645207116,8,1,1.2515859874727637,1113.5123494289783,1.4700479982406976e-05,1.8292930871033543e-06,4.465643546534896e-06,4e-06,0.12925641998128798,0.00215217251829743,1.24206305279714,0,0.009522934675623883,1113.5123494289783,0.0008030004125187526,0.3168565136297974,0.0002895055304543105,2.45137931002319,0.000250859964826564,1.1540523441214094,0.002394153727451413,0.0004682628029021791,full_residual_scaled_covariance
1,0.000537245544703822,"{'sync_ratio_gt_1': True, 'position_ratio_gt_1': False, 'sync_worse_gt_5_percent': True, 'position_worse_gt_5_percent': False, 'objective_decreases_but_metric_worsens': True, 'unusually_large_update_norm': False}",4995.8605219166575,12,1,1.404436062584527,1374.9120959604804,1.2794730593345514e-05,1.2046398711892674e-06,4e-06,4e-06,0.1390176450957488,0.0021909690040947953,1.388793512652255,0,0.01564254993227182,1374.9120959604804,0.0006348838688291653,0.34078497891586534,0.0002545058720338499,2.45137931002319,0.00023403845659085177,1.0874532149166385,0.002376203691802899,0.00039279575587064714,full_residual_scaled_covariance
1,0.0005903051179553312,"{'sync_ratio_gt_1': False, 'position_ratio_gt_1': False, 'sync_worse_gt_5_percent': False, 'position_worse_gt_5_percent': False, 'objective_decreases_but_metric_worsens': False, 'unusually_large_update_norm': True}",121258.60613442655,8,7,0.3235681969989798,9723.814253278037,0.0004,0.00019275216909043206,0.00039968756320285726,0.0003411076785422441,0.01667397435041022,0.006015822349700439,0.31241837397056715,0,0.011149823028412683,9723.814253278037,0.0005760592299048054,0.03677075717431965,3.486038413021543e-05,2.2052785017877277,0.00023825529852167685,0.14631525236381585,0.006094565700876447,0.00052278883930467,full_residual_scaled_covariance
1,0.0006042713456025457,"{'sync_ratio_gt_1': False, 'position_ratio_gt_1': False, 'sync_worse_gt_5_percent': False, 'position_worse_gt_5_percent': False, 'objective_decreases_but_metric_worsens': False, 'unusually_large_update_norm': True}",118455.92531322026,12,7,0.40792829504170774,13730.644662631734,0.0004,6.619107905239698e-05,0.00025090295473042536,0.0002436856723147966,0.01795237950802429,0.006013019463498151,0.39338697684019625,0,0.01454131820151151,13730.644662631734,0.000736822352432122,0.03958999658498051,4.190959029927186e-05,2.2052785017877277,0.0002272804957279902,0.18439589444326693,0.006110152900426256,0.0005191477246602214,full_residual_scaled_covariance
